5.9642 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
111.9605 	EXP 	New trial (rep=44, index=0): None
111.9621 	DATA 	Keypress: down
111.9722 	EXP 	fixation: autoDraw = False
111.9722 	EXP 	grating: autoDraw = False
111.9722 	EXP 	grating: ori = 0.0
111.9722 	EXP 	fixation: autoDraw = True
112.9722 	EXP 	fixation: autoDraw = False
112.9722 	EXP 	grating: autoDraw = True
113.2720 	EXP 	grating: autoDraw = False
113.9947 	EXP 	New trial (rep=45, index=0): None
113.9967 	DATA 	Keypress: up
114.0054 	EXP 	fixation: autoDraw = False
114.0054 	EXP 	grating: autoDraw = False
114.0054 	EXP 	grating: ori = 0.0
114.0054 	EXP 	fixation: autoDraw = True
115.0055 	EXP 	fixation: autoDraw = False
115.0055 	EXP 	grating: autoDraw = True
115.3048 	EXP 	grating: autoDraw = False
115.6625 	EXP 	New trial (rep=46, index=0): None
115.6641 	DATA 	Keypress: up
115.6717 	EXP 	fixation: autoDraw = False
115.6717 	EXP 	grating: autoDraw = False
115.6717 	EXP 	grating: ori = -5.0
115.6717 	EXP 	fixation: autoDraw = True
116.6717 	EXP 	fixation: autoDraw = False
116.6717 	EXP 	grating: autoDraw = True
116.9711 	EXP 	grating: autoDraw = False
117.2937 	EXP 	New trial (rep=47, index=0): None
117.2953 	DATA 	Keypress: down
117.3043 	EXP 	fixation: autoDraw = False
117.3043 	EXP 	grating: autoDraw = False
117.3043 	EXP 	grating: ori = 0.0
117.3043 	EXP 	fixation: autoDraw = True
118.3042 	EXP 	fixation: autoDraw = False
118.3042 	EXP 	grating: autoDraw = True
118.6040 	EXP 	grating: autoDraw = False
119.1584 	EXP 	New trial (rep=48, index=0): None
119.1602 	DATA 	Keypress: up
119.1708 	EXP 	fixation: autoDraw = False
119.1708 	EXP 	grating: autoDraw = False
119.1708 	EXP 	grating: ori = 0.0
119.1708 	EXP 	fixation: autoDraw = True
120.1709 	EXP 	fixation: autoDraw = False
120.1709 	EXP 	grating: autoDraw = True
120.4704 	EXP 	grating: autoDraw = False
120.9099 	EXP 	New trial (rep=49, index=0): None
120.9117 	DATA 	Keypress: up
120.9201 	EXP 	fixation: autoDraw = False
120.9201 	EXP 	grating: autoDraw = False
120.9201 	EXP 	grating: ori = -5.0
120.9201 	EXP 	fixation: autoDraw = True
121.9204 	EXP 	fixation: autoDraw = False
121.9204 	EXP 	grating: autoDraw = True
122.2198 	EXP 	grating: autoDraw = False
122.6127 	EXP 	New trial (rep=50, index=0): None
122.6153 	DATA 	Keypress: down
122.6197 	EXP 	fixation: autoDraw = False
122.6197 	EXP 	grating: autoDraw = False
122.6197 	EXP 	grating: ori = 0.0
122.6197 	EXP 	fixation: autoDraw = True
123.6196 	EXP 	fixation: autoDraw = False
123.6196 	EXP 	grating: autoDraw = True
123.9193 	EXP 	grating: autoDraw = False
124.3935 	EXP 	New trial (rep=51, index=0): None
124.3960 	DATA 	Keypress: up
124.4027 	EXP 	fixation: autoDraw = False
124.4027 	EXP 	grating: autoDraw = False
124.4027 	EXP 	grating: ori = 0.0
124.4027 	EXP 	fixation: autoDraw = True
125.4026 	EXP 	fixation: autoDraw = False
125.4026 	EXP 	grating: autoDraw = True
125.7024 	EXP 	grating: autoDraw = False
126.3569 	EXP 	New trial (rep=52, index=0): None
126.3586 	DATA 	Keypress: up
126.3690 	EXP 	fixation: autoDraw = False
126.3690 	EXP 	grating: autoDraw = False
126.3690 	EXP 	grating: ori = 0.0
126.3690 	EXP 	fixation: autoDraw = True
127.3692 	EXP 	fixation: autoDraw = False
127.3692 	EXP 	grating: autoDraw = True
127.6686 	EXP 	grating: autoDraw = False
128.0910 	EXP 	New trial (rep=53, index=0): None
128.0930 	DATA 	Keypress: up
128.1022 	EXP 	fixation: autoDraw = False
128.1022 	EXP 	grating: autoDraw = False
128.1022 	EXP 	grating: ori = -4.0
128.1022 	EXP 	fixation: autoDraw = True
129.1017 	EXP 	fixation: autoDraw = False
129.1017 	EXP 	grating: autoDraw = True
129.4014 	EXP 	grating: autoDraw = False
129.7412 	EXP 	New trial (rep=54, index=0): None
129.7440 	DATA 	Keypress: down
129.7514 	EXP 	fixation: autoDraw = False
129.7514 	EXP 	grating: autoDraw = False
129.7514 	EXP 	grating: ori = 2.0
129.7514 	EXP 	fixation: autoDraw = True
130.7512 	EXP 	fixation: autoDraw = False
130.7512 	EXP 	grating: autoDraw = True
131.0513 	EXP 	grating: autoDraw = False
132.1764 	EXP 	New trial (rep=55, index=0): None
132.1794 	DATA 	Keypress: up
132.1844 	EXP 	fixation: autoDraw = False
132.1844 	EXP 	grating: autoDraw = False
132.1844 	EXP 	grating: ori = 0.0
132.1844 	EXP 	fixation: autoDraw = True
133.1844 	EXP 	fixation: autoDraw = False
133.1844 	EXP 	grating: autoDraw = True
133.4842 	EXP 	grating: autoDraw = False
134.3457 	EXP 	New trial (rep=56, index=0): None
134.3508 	DATA 	Keypress: down
134.3538 	EXP 	fixation: autoDraw = False
134.3538 	EXP 	grating: autoDraw = False
134.3538 	EXP 	grating: ori = 0.0
134.3538 	EXP 	fixation: autoDraw = True
